ctZ ctZI -2DeltaNLL
-0.083 -0.183 0.955329887802
-0.05 -0.183 1.22377353604
-0.017 -0.183 1.4455247554
0 -0.183 1.53934406536
0.017 -0.183 1.61101802485
0.05 -0.183 1.70439398754
0.083 -0.183 1.72142185597
0.117 -0.183 1.70341808721
0.15 -0.183 1.66704907035
0.183 -0.183 1.66859050211
0.217 -0.183 1.74168627732
0.25 -0.183 1.97006531386
0.283 -0.183 2.37847959762
0.317 -0.183 3.07618964976
0.35 -0.183 4.05776852672
0.383 -0.183 5.37422908563
0.417 -0.183 7.12033716426
0.45 -0.183 9.24443037179
0.483 -0.183 11.7944884391
0.55 -0.183 18.1946539029
0.6 -0.183 23.9835576105
-0.6 -0.15 21.3733758598
-0.55 -0.15 15.587730404
-0.483 -0.15 9.29432902392
-0.45 -0.15 6.75855864096
-0.417 -0.15 4.66609464982
-0.383 -0.15 2.97229169006
-0.35 -0.15 1.73088387772
-0.317 -0.15 0.861823316664
-0.283 -0.15 0.323420170927
-0.25 -0.15 0.0971141641494
-0.217 -0.15 0.100515596569
-0.183 -0.15 0.283665673109
-0.15 -0.15 0.580337721854
-0.117 -0.15 0.938779837918
-0.083 -0.15 1.31076786947
-0.05 -0.15 1.633818381
-0.017 -0.15 1.89492441155
0 -0.15 1.99300444638
0.017 -0.15 2.07315927302
0.05 -0.15 2.14607001236
0.083 -0.15 2.12932664785
0.117 -0.15 2.05087121017
0.15 -0.15 1.93815201381
0.183 -0.15 1.85918796901
0.217 -0.15 1.81580590317
0.25 -0.15 1.92097558198
0.283 -0.15 2.20595999458
0.317 -0.15 2.74940415146
0.35 -0.15 3.60464947321
0.383 -0.15 4.80507240468
0.417 -0.15 6.43048299453
0.45 -0.15 8.43186738621
0.483 -0.15 10.8824603958
0.55 -0.15 17.2264788514
0.6 -0.15 22.8661112424
-0.6 -0.117 20.4459636565
-0.55 -0.117 14.7341153291
-0.483 -0.117 8.53203877667
-0.45 -0.117 6.0832384415
-0.417 -0.117 4.08303240989
-0.383 -0.117 2.47798028938
-0.35 -0.117 1.32896880689
-0.317 -0.117 0.575167708332
-0.283 -0.117 0.147154446226
-0.25 -0.117 0.0266431553755
-0.217 -0.117 0.155036989599
-0.183 -0.117 0.432943826308
-0.15 -0.117 0.814551646123
-0.117 -0.117 1.2463911979
-0.083 -0.117 1.67998345033
-0.05 -0.117 2.05216357019
-0.017 -0.117 2.34303120547
0 -0.117 2.45243146294
0.017 -0.117 2.53049415466
0.05 -0.117 2.5832961665
0.083 -0.117 2.54297636007
0.117 -0.117 2.4243807469
0.15 -0.117 2.25283781183
0.183 -0.117 2.08228664612
0.217 -0.117 1.95967081981
0.25 -0.117 1.95777391247
0.283 -0.117 2.12548814272
0.317 -0.117 2.5530267735
0.35 -0.117 3.28811554587
0.383 -0.117 4.38725423091
0.417 -0.117 5.91770597035
0.45 -0.117 7.8190437071
0.483 -0.117 10.1829211642
0.55 -0.117 16.3824653102
0.6 -0.117 21.9828278911
-0.6 -0.083 19.7332599328
-0.55 -0.083 14.1155762617
-0.483 -0.083 7.95848152507
-0.45 -0.083 5.57245880249
-0.417 -0.083 3.6474410512
-0.383 -0.083 2.11387924431
-0.35 -0.083 1.06313279574
-0.317 -0.083 0.390648554545
-0.283 -0.083 0.0521561433561
-0.25 -0.083 0.018411275465
-0.217 -0.083 0.220090259798
-0.183 -0.083 0.587211961625
-0.15 -0.083 1.04145104252
-0.117 -0.083 1.53845615732
-0.083 -0.083 2.02547574672
-0.05 -0.083 2.44488653028
-0.017 -0.083 2.75089735677
0 -0.083 2.86494751554
0.017 -0.083 2.94161982392
0.05 -0.083 2.99172224128
0.083 -0.083 2.94089892297
0.117 -0.083 2.77054176992
0.15 -0.083 2.54283609195
0.183 -0.083 2.30602200306
0.217 -0.083 2.10993938381
0.25 -0.083 2.03004334751
0.283 -0.083 2.11888679862
0.317 -0.083 2.44442957523
0.35 -0.083 3.08216948085
0.383 -0.083 4.09644429176
0.417 -0.083 5.53857976571
0.45 -0.083 7.36100751511
0.483 -0.083 9.66207971144
0.55 -0.083 15.7322165298
0.6 -0.083 21.292632665
-0.6 -0.05 19.2852170689
-0.55 -0.05 13.6974258241
-0.483 -0.05 7.59543075482
-0.45 -0.05 5.25493846973
-0.417 -0.05 3.37971955887
-0.383 -0.05 1.89592060307
-0.35 -0.05 0.896876340732
-0.317 -0.05 0.279931352939
-0.283 -0.05 0.00534689077176
-0.25 -0.05 0.0429781153798
-0.217 -0.05 0.289920817595
-0.183 -0.05 0.719496423611
-0.15 -0.05 1.21781584271
-0.117 -0.05 1.75676498958
-0.083 -0.05 2.28639225289
-0.05 -0.05 2.72489922633
-0.017 -0.05 3.05131774559
0 -0.05 3.16041545244
0.017 -0.05 3.24268710217
0.05 -0.05 3.29671380855
0.083 -0.05 3.21030100388
0.117 -0.05 3.01770502143
0.15 -0.05 2.75691133179
0.183 -0.05 2.4793663118
0.217 -0.05 2.23784702434
0.25 -0.05 2.09933147393
0.283 -0.05 2.12787576532
0.317 -0.05 2.4083797629
0.35 -0.05 2.96897172369
0.383 -0.05 3.91448967718
0.417 -0.05 5.30372184608
0.45 -0.05 7.07981032832
0.483 -0.05 9.33078824542
0.55 -0.05 15.3230253551
0.6 -0.05 20.8500538007
-0.6 -0.017 19.0532202886
-0.55 -0.017 13.4710486254
-0.483 -0.017 7.41355321812
-0.45 -0.017 5.09763547755
